date,plant,line_name,section,goal_units,actual_units,downtime_min,efficiency_pct,credit_hours,shift
,,,,,,,92.9,,
,,,,,,,222.3,,
,,,,,,,124.9,,
,,,,,,,65.5,,
,,,,,,,101.1,,
,,,,,,,160.9,,
,,,,,,,102.9,,
,,,,,,,151.8,,
,,,,,,,222.6,,
,,,,,,,66.2,,
,,,,,,,58.3,,
,,,,,,,74.8,,
,,,,,,,101.3,,
,,,,,,,135.1,,
,,,,,,,82.0,,
,,,,,,,145.1,,
,,,,,,,33.1,,
,,,,,,,159.3,,
,,,,,,,176.1,,
2024-01-18,,,,,,,,,
2024-04-18,,,,,,,,,
2025-03-04,,,,,,,,,
2021-05-04,,,,,,,,,
2020-05-16,,,,,,,,,
2024-01-21,,,,,,,,,
2019-11-13,,,,,,,,,
2019-10-16,,,,,,,,,
2019-09-16,,,,,,,,,
2025-09-15,,,,,,,,,
2020-05-03,,,,,,,,,
2024-10-22,,,,,,,,,
